
Starting to train....
===== SIGMA: 1.0 =====
step 100 Loss: 0.02399283
step 200 Loss: 0.02183257
step 300 Loss: 0.02049379
step 400 Loss: 0.02004536
step 500 Loss: 0.01975388
step 600 Loss: 0.01983187
step 700 Loss: 0.01933352
step 800 Loss: 0.01906063
step 900 Loss: 0.01880717
step 1000 Loss: 0.01847477
step 1100 Loss: 0.01827689
step 1200 Loss: 0.01809546
step 1300 Loss: 0.01747388
step 1400 Loss: 0.01722101
step 1500 Loss: 0.01719062
step 1600 Loss: 0.01688076
step 1700 Loss: 0.01730815
step 1800 Loss: 0.01798556
step 1900 Loss: 0.01736939
step 2000 Loss: 0.01700271
step 2100 Loss: 0.01688412
step 2200 Loss: 0.01681640
step 2300 Loss: 0.01676697
step 2400 Loss: 0.01672910
step 2500 Loss: 0.01670215
step 2600 Loss: 0.01668287
step 2700 Loss: 0.01669080
step 2800 Loss: 0.01671088
step 2900 Loss: 0.01671425
step 3000 Loss: 0.01671445
step 3100 Loss: 0.01671381
step 3200 Loss: 0.01671135
step 3300 Loss: 0.01670616
step 3400 Loss: 0.01669766
step 3500 Loss: 0.01668583
step 3600 Loss: 0.01667087
step 3700 Loss: 0.01665288
step 3800 Loss: 0.01663188
step 3900 Loss: 0.01660791
step 4000 Loss: 0.01658108
step 4100 Loss: 0.01655104
step 4200 Loss: 0.01651271
step 4300 Loss: 0.01644431
step 4400 Loss: 0.01634845
step 4500 Loss: 0.01626929
step 4600 Loss: 0.01621383
step 4700 Loss: 0.01625611
step 4800 Loss: 0.01636508
step 4900 Loss: 0.01644582
step 5000 Loss: 0.01645522
Starting to testing...
Test Loss: 0.52045333

Starting to train....
===== SIGMA: 0.9 =====
step 100 Loss: 0.02684584
step 200 Loss: 0.02503802
step 300 Loss: 0.02387730
step 400 Loss: 0.02322517
step 500 Loss: 0.02296804
step 600 Loss: 0.02269431
step 700 Loss: 0.02224509
step 800 Loss: 0.02251383
step 900 Loss: 0.02163461
step 1000 Loss: 0.02085124
step 1100 Loss: 0.02038496
step 1200 Loss: 0.02006181
step 1300 Loss: 0.01973776
step 1400 Loss: 0.01940061
step 1500 Loss: 0.01940338
step 1600 Loss: 0.01973209
step 1700 Loss: 0.01886416
step 1800 Loss: 0.01999289
step 1900 Loss: 0.01959884
step 2000 Loss: 0.01930702
step 2100 Loss: 0.01929505
step 2200 Loss: 0.01953180
step 2300 Loss: 0.01977702
step 2400 Loss: 0.01973563
step 2500 Loss: 0.01943248
step 2600 Loss: 0.01914458
step 2700 Loss: 0.01894957
step 2800 Loss: 0.02094520
step 2900 Loss: 0.01952980
step 3000 Loss: 0.01924964
step 3100 Loss: 0.01895008
step 3200 Loss: 0.01878259
step 3300 Loss: 0.01867695
step 3400 Loss: 0.01860739
step 3500 Loss: 0.01855667
step 3600 Loss: 0.01851335
step 3700 Loss: 0.01847211
step 3800 Loss: 0.01843109
step 3900 Loss: 0.01839023
step 4000 Loss: 0.01835045
step 4100 Loss: 0.01831305
step 4200 Loss: 0.01827909
step 4300 Loss: 0.01824900
step 4400 Loss: 0.01822223
step 4500 Loss: 0.01819749
step 4600 Loss: 0.01817330
step 4700 Loss: 0.01814847
step 4800 Loss: 0.01812242
step 4900 Loss: 0.01809504
step 5000 Loss: 0.01806658
Starting to testing...
Test Loss: 0.22915884
Starting to train....

===== SIGMA: 0.8 =====
step 100 Loss: 0.02764188
step 200 Loss: 0.02655029
step 300 Loss: 0.02548152
step 400 Loss: 0.02426827
step 500 Loss: 0.02240962
step 600 Loss: 0.02177013
step 700 Loss: 0.02124905
step 800 Loss: 0.02063020
step 900 Loss: 0.02063713
step 1000 Loss: 0.02090700
step 1100 Loss: 0.02049104
step 1200 Loss: 0.01979466
step 1300 Loss: 0.02007124
step 1400 Loss: 0.01977310
step 1500 Loss: 0.01967512
step 1600 Loss: 0.01946393
step 1700 Loss: 0.01903912
step 1800 Loss: 0.01873073
step 1900 Loss: 0.01846548
step 2000 Loss: 0.01768317
step 2100 Loss: 0.02032221
step 2200 Loss: 0.01842069
step 2300 Loss: 0.02031147
step 2400 Loss: 0.01924366
step 2500 Loss: 0.01873592
step 2600 Loss: 0.01851860
step 2700 Loss: 0.01840417
step 2800 Loss: 0.01843818
step 2900 Loss: 0.01860263
step 3000 Loss: 0.01875392
step 3100 Loss: 0.01881577
step 3200 Loss: 0.01878457
step 3300 Loss: 0.01869474
step 3400 Loss: 0.01860869
step 3500 Loss: 0.01852236
step 3600 Loss: 0.02123347
step 3700 Loss: 0.01864249
step 3800 Loss: 0.01841050
step 3900 Loss: 0.01842918
step 4000 Loss: 0.01845249
step 4100 Loss: 0.01842692
step 4200 Loss: 0.01839768
step 4300 Loss: 0.01836681
step 4400 Loss: 0.01832265
step 4500 Loss: 0.01826506
step 4600 Loss: 0.01820058
step 4700 Loss: 0.01813354
step 4800 Loss: 0.01806618
step 4900 Loss: 0.01800074
step 5000 Loss: 0.01794092
Starting to testing...
Test Loss: 0.31804356

Starting to train....
===== SIGMA: 0.7 =====
step 100 Loss: 0.02816361
step 200 Loss: 0.02730068
step 300 Loss: 0.02455741
step 400 Loss: 0.02254647
step 500 Loss: 0.02220412
step 600 Loss: 0.02197049
step 700 Loss: 0.02075773
step 800 Loss: 0.02019663
step 900 Loss: 0.01975618
step 1000 Loss: 0.01945311
step 1100 Loss: 0.01931447
step 1200 Loss: 0.01937532
step 1300 Loss: 0.01957817
step 1400 Loss: 0.01987213
step 1500 Loss: 0.02025680
step 1600 Loss: 0.02074983
step 1700 Loss: 0.02125687
step 1800 Loss: 0.02148637
step 1900 Loss: 0.02133486
step 2000 Loss: 0.02102738
step 2100 Loss: 0.02076201
step 2200 Loss: 0.02053235
step 2300 Loss: 0.02031744
step 2400 Loss: 0.02047570
step 2500 Loss: 0.02024991
step 2600 Loss: 0.02013667
step 2700 Loss: 0.02008070
step 2800 Loss: 0.02008054
step 2900 Loss: 0.02120350
step 3000 Loss: 0.02019196
step 3100 Loss: 0.02028542
step 3200 Loss: 0.02067139
step 3300 Loss: 0.02056889
step 3400 Loss: 0.02166722
step 3500 Loss: 0.02141968
step 3600 Loss: 0.01990414
step 3700 Loss: 0.01959724
step 3800 Loss: 0.02275868
step 3900 Loss: 0.02060452
step 4000 Loss: 0.02096257
step 4100 Loss: 0.02135667
step 4200 Loss: 0.02109900
step 4300 Loss: 0.02095489
step 4400 Loss: 0.02091748
step 4500 Loss: 0.03304068
step 4600 Loss: 0.02048745
step 4700 Loss: 0.01988570
step 4800 Loss: 0.01961386
step 4900 Loss: 0.01952801
step 5000 Loss: 0.01927785
Starting to testing...
Test Loss: 0.51348665
