Starting to train....

===== SIGMA: 1.0 =====
step 100 Loss: 0.02462152
step 200 Loss: 0.02308125
step 300 Loss: 0.02157283
step 400 Loss: 0.02060632
step 500 Loss: 0.02003440
step 600 Loss: 0.01970543
step 700 Loss: 0.01951288
step 800 Loss: 0.01939195
step 900 Loss: 0.01930435
step 1000 Loss: 0.01924556
step 1100 Loss: 0.01919410
step 1200 Loss: 0.01911324
step 1300 Loss: 0.01905212
step 1400 Loss: 0.01900165
step 1500 Loss: 0.01895811
step 1600 Loss: 0.01891070
step 1700 Loss: 0.01884830
step 1800 Loss: 0.01876502
step 1900 Loss: 0.01866628
step 2000 Loss: 0.01856793
step 2100 Loss: 0.01848026
step 2200 Loss: 0.01839573
step 2300 Loss: 0.01831574
step 2400 Loss: 0.01824678
step 2500 Loss: 0.01818733
step 2600 Loss: 0.01825719
step 2700 Loss: 0.01822671
step 2800 Loss: 0.01828466
step 2900 Loss: 0.01895099
step 3000 Loss: 0.01799695
step 3100 Loss: 0.01806498
step 3200 Loss: 0.01796944
step 3300 Loss: 0.01786706
step 3400 Loss: 0.01784796
step 3500 Loss: 0.01798437
step 3600 Loss: 0.01760389
step 3700 Loss: 0.01773501
step 3800 Loss: 0.01808883
step 3900 Loss: 0.01759188
step 4000 Loss: 0.01731106
step 4100 Loss: 0.01815944
step 4200 Loss: 0.01761856
step 4300 Loss: 0.01749159
step 4400 Loss: 0.01724387
step 4500 Loss: 0.01717121
step 4600 Loss: 0.01692912
step 4700 Loss: 0.01677662
step 4800 Loss: 0.01676453
step 4900 Loss: 0.01671368
step 5000 Loss: 0.01667041
step 5100 Loss: 0.01662900
step 5200 Loss: 0.01658902
step 5300 Loss: 0.01655172
step 5400 Loss: 0.01651793
step 5500 Loss: 0.01648714
step 5600 Loss: 0.01645844
step 5700 Loss: 0.01643151
step 5800 Loss: 0.01640803
step 5900 Loss: 0.01638898
step 6000 Loss: 0.01637184
step 6100 Loss: 0.01635670
step 6200 Loss: 0.01635563
step 6300 Loss: 0.01681290
step 6400 Loss: 0.01687059
step 6500 Loss: 0.01672664
step 6600 Loss: 0.01641140
step 6700 Loss: 0.01631238
step 6800 Loss: 0.01624740
step 6900 Loss: 0.01622965
step 7000 Loss: 0.01622081
step 7100 Loss: 0.01621339
step 7200 Loss: 0.01620702
step 7300 Loss: 0.01620495
step 7400 Loss: 0.01620812
step 7500 Loss: 0.01620764
step 7600 Loss: 0.01619900
step 7700 Loss: 0.01618466
step 7800 Loss: 0.01616705
step 7900 Loss: 0.01614946
step 8000 Loss: 0.01613878
step 8100 Loss: 0.01614040
step 8200 Loss: 0.01614836
step 8300 Loss: 0.01613926
step 8400 Loss: 0.01611765
step 8500 Loss: 0.01609732
step 8600 Loss: 0.01607520
step 8700 Loss: 0.01605390
step 8800 Loss: 0.01603366
step 8900 Loss: 0.01601434
step 9000 Loss: 0.01599639
step 9100 Loss: 0.01597976
step 9200 Loss: 0.01596393
step 9300 Loss: 0.01601033
step 9400 Loss: 0.01592774
step 9500 Loss: 0.01591460
step 9600 Loss: 0.01590789
step 9700 Loss: 0.01590060
step 9800 Loss: 0.01618146
step 9900 Loss: 0.01599810
step 10000 Loss: 0.01587180
Starting to testing...
Test Loss: 0.14728125
Starting to train....

===== SIGMA: 0.9 =====
step 100 Loss: 0.02558044
step 200 Loss: 0.02454396
step 300 Loss: 0.02358743
step 400 Loss: 0.02281089
step 500 Loss: 0.02219343
step 600 Loss: 0.02173960
step 700 Loss: 0.02137303
step 800 Loss: 0.02107830
step 900 Loss: 0.02085953
step 1000 Loss: 0.02067191
step 1100 Loss: 0.02047210
step 1200 Loss: 0.02024714
step 1300 Loss: 0.02000273
step 1400 Loss: 0.01976267
